Cod Item;Descrição Item;Quantia;Nota Fornecedor;Lote Fornecedor;Validade;Local;Serie Cipatex;Setor
1001742563;PLASTIFICANTE EDENOL D 81     ;1.000,00;9037;GH31300028/561307;10/06/2025;ALM003001;AAC133698;ALMOXARIFADO
1001742563;PLASTIFICANTE EDENOL D 81     ;183,00;9037;GH31300028/561307;10/06/2025;CAL001;AAC133699;PRODUCAO
1001742564;PIGMENTO INORG. AZUL BLAU     ;25,00;8313;122029151/538610;22/04/2027;ALM003018;AAC083199;ALMOXARIFADO
1001742564;PIGMENTO INORG. AZUL BLAU     ;4,70;8313;122056661/538611;22/04/2027;CAL001;AAC083207;PRODUCAO
1001742564;PIGMENTO INORG. AZUL BLAU     ;3,00;9795;122056661/538611;11/11/2027;CAL001;AAC172713;PRODUCAO
1001742565;ESTABILIZANTE THERMOLITHE 890F;294,00;8607;890F220607/539200;05/03/2024;CAL001;AAC107358;PRODUCAO
1001742565;ESTABILIZANTE THERMOLITHE 890F;1.000,00;8607;890F220603/539199;05/03/2024;ALM003001;AAC107361;ALMOXARIFADO
1001742566;ADITIVO LOXIOL G 70 S         ;23,86;9795;GL22100002/538754;11/11/2024;CAL001;AAC172725;PRODUCAO
1001742566;ADITIVO LOXIOL G 70 S         ;1.300,00;9936;230514/575597;20/03/2025;CAL001;AAC179374;PRODUCAO
1001742567;ADITIVO LOXIOL G 78 V         ;365,12;9037;GL31140019/560192;11/07/2024;CAL001;AAC133707;PRODUCAO
1001742567;ADITIVO LOXIOL G 78 V         ;500,00;9037;GL31140019/560192;11/07/2024;ALM003018;AAC133708;ALMOXARIFADO
1001742568;ADITIVO LOXIOL P 1141         ;850,00;9037;GL31130034/558566;11/07/2025;ALM003001;AAC133709;ALMOXARIFADO
1001742568;ADITIVO LOXIOL P 1141         ;229,00;9037;GL31130034/558566;11/07/2025;CAL001;AAC133710;PRODUCAO
1001742568;ADITIVO LOXIOL P 1141         ;850,00;9037;GL31130034/558566;11/07/2025;ALM003001;AAC133712;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;293,71;9082;511A01013/566137;19/07/2024;CAL001;AAC137123;PRODUCAO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003015;AAC137125;ALMOXARIFADO
1001742577;ADITIVO  KANE ACE B 511       ;500,00;9082;511A01013/566137;19/07/2024;ALM003015;AAC137128;ALMOXARIFADO
